filename,sentence,paragraph_index,year,date,paragraphs,num_char_sentence,total_chars
C:/Modeling/ETA/Chile/04092003.pdf,"The Central Bank of Chile  * Press Release  September 4, 2003    At its monthly monetary policy meeting, the Board of the Central Bank  of Chile decided, by unanimous vote, to maintain the monetary policy  interest rate at 2.75% (annual)    Although domestic activity has continued showing some weakness, in  the most likely scenario a strengthening is expected for the coming  quarters, together with a gradual reduction in the output gap.",1.0,2003,04/09/2003,5.0,440.0,1483.0
C:/Modeling/ETA/Chile/04092003.pdf,This has  begun to show in better expectations and financial market indicators.,1.0,2003,04/09/2003,5.0,79.0,1483.0
C:/Modeling/ETA/Chile/04092003.pdf,"The consolidation of an improved international scenario, especially in  the United States and Asia, combined with the marked impulse of  monetary policy, support this outlook.",2.0,2003,04/09/2003,5.0,175.0,1483.0
C:/Modeling/ETA/Chile/04092003.pdf,"Overall, some signs of fragility in  domestic activity and risks associated to the international environment  still persist.",2.0,2003,04/09/2003,5.0,124.0,1483.0
C:/Modeling/ETA/Chile/04092003.pdf,"  The latest price information available shows core inflation slowing down  significantly in the past few months, and returning to the lower part of  the target range.",3.0,2003,04/09/2003,5.0,167.0,1483.0
C:/Modeling/ETA/Chile/04092003.pdf,"This means that for now inflationary pressures are  limited, which when combined with the rest of the available indicators,  yields an inflation forecast of around 3% over the next 24 months.",3.0,2003,04/09/2003,5.0,191.0,1483.0
C:/Modeling/ETA/Chile/04092003.pdf,  The Central Bank of Chile will continue to conduct monetary policy  with the necessary flexibility to address any projected inflation  deviations in either direction from the specified target inflation range.,4.0,2003,04/09/2003,5.0,210.0,1483.0
C:/Modeling/ETA/Chile/04092003.pdf,"     In case of any discrepancy or difference of interpretation, the Spanish original  prevails. ",5.0,2003,04/09/2003,5.0,97.0,1483.0
C:/Modeling/ETA/Chile/10072003.pdf,"  Press Release*  Monthly Monetary Policy Meeting  July 10, 2003      At its monthly monetary policy meeting, the Board of the Central Bank  of Chile decided, by unanimous vote of its four members that  participated at the meeting, to maintain the monetary policy interest rate  at 2.75 (annual).",1.0,2003,10/07/2003,5.0,296.0,1513.0
C:/Modeling/ETA/Chile/10072003.pdf,"  Despite the fact that the labor market continues to show high rates of  employment creation, sectoral indicators have been mixed in general and  the most recent information on economic activity shows that growth in  the second quarter was lower than expected.",2.0,2003,10/07/2003,5.0,261.0,1513.0
C:/Modeling/ETA/Chile/10072003.pdf,"Nonetheless, these  circumstances are not sufficient to modify perspectives of a gradual drop  in excess capacity during the upcoming quarters.",2.0,2003,10/07/2003,5.0,143.0,1513.0
C:/Modeling/ETA/Chile/10072003.pdf,The marked monetary  policy stimulus and continuing expectations of increased world growth  for the second semester are coherent with this scenario.,2.0,2003,10/07/2003,5.0,148.0,1513.0
C:/Modeling/ETA/Chile/10072003.pdf,  The path followed by prices has been within foreseen margins.,3.0,2003,10/07/2003,5.0,63.0,1513.0
C:/Modeling/ETA/Chile/10072003.pdf,"In  addition, it is estimated that the effects on inflation resulting from the  increase of the VAT next October will have a limited and transitory  effect, so that forecast inflation towards the end of the projection horizon  does not change.",3.0,2003,10/07/2003,5.0,243.0,1513.0
C:/Modeling/ETA/Chile/10072003.pdf,  The Central Bank of Chile reiterates that it will continue to conduct  monetary policy with the necessary flexibility to address any projected  inflation deviations in either direction from the specified target inflation  rate.,4.0,2003,10/07/2003,5.0,229.0,1513.0
C:/Modeling/ETA/Chile/10072003.pdf,    *This is an unofficial translation.,5.0,2003,10/07/2003,5.0,39.0,1513.0
C:/Modeling/ETA/Chile/10072003.pdf,"In case of any discrepancy or  difference of interpretation, the Spanish original prevails.",5.0,2003,10/07/2003,5.0,91.0,1513.0
,,,,,,,
C:/Modeling/ETA/Chile/11072002.pdf,"Santiago, July 11, 2002    Press Release    At its monthly monetary policy meeting held today, the Board of the Central Bank decided  to lower the monetary policy interest rate by 75 basis points from an annual 4% to 3.25%  and to lower the rates on liquidity credit lines by the same amount each.",1.0,2002,11/07/2002,6.0,297.0,1712.0
C:/Modeling/ETA/Chile/11072002.pdf,  The world economic growth continues as foreseen in previous months although differently  in the various geographic regions.,2.0,2002,11/07/2002,6.0,125.0,1712.0
C:/Modeling/ETA/Chile/11072002.pdf,"Nevertheless, the outlook for growth of Chile’s trading  partners has been affected by dismal results of some Latin American countries.",2.0,2002,11/07/2002,6.0,135.0,1712.0
C:/Modeling/ETA/Chile/11072002.pdf,"In addition,  there are considerable risks associated with the deterioration of the main stock markets.",2.0,2002,11/07/2002,6.0,103.0,1712.0
C:/Modeling/ETA/Chile/11072002.pdf,Financial turbulence in the region is also more significant than in previous months.,3.0,2002,11/07/2002,6.0,84.0,1712.0
C:/Modeling/ETA/Chile/11072002.pdf,"  On the domestic front, figures indicate that second-quarter spending and output were both  higher than in the first quarter but still below what had been forecast in May’s Monetary  Policy Report, particularly with regard to spending.",4.0,2002,11/07/2002,6.0,236.0,1712.0
C:/Modeling/ETA/Chile/11072002.pdf,"Their performance, together with  international developments, suggest that growth rates in the coming quarters will be lower  than the Report had indicated.",4.0,2002,11/07/2002,6.0,156.0,1712.0
C:/Modeling/ETA/Chile/11072002.pdf,  Some of the circumstances described imply contradictory effects on inflation.,5.0,2002,11/07/2002,6.0,79.0,1712.0
C:/Modeling/ETA/Chile/11072002.pdf,"However, the  low level of inflation, the persistence of idle capacity, the failure of exchange depreciation to  pass through to prices, all these factors point to inflation converging on the centre of the  target range within the usual policy horizon and this is coherent with the measure of  lowering the monetary policy rate to give a boost to economic activity.",5.0,2002,11/07/2002,6.0,365.0,1712.0
C:/Modeling/ETA/Chile/11072002.pdf,  The Central Bank reiterates its commitment to a flexible use of monetary policy to avoid  deviations from the inflationary target.,6.0,2002,11/07/2002,6.0,132.0,1712.0
,,,,,,,
C:/Modeling/ETA/Chile/12082003.pdf,"THE CENTRAL BANK OF CHILE * Press Release August 12, 2003 At its monthly monetary policy meeting, the Board of the Central Bank of Chile decided, by unanimous vote, to maintain the monetary policy interest rate at 2.75% (annual.) Recent economic activity figures confirm that growth in the second quarter was lower than expected.",1.0,2003,12/08/2003,5.0,329.0,1288.0
C:/Modeling/ETA/Chile/12082003.pdf,"This is partly explained by the higher international oil price and by world market conditions, especially in the region, that have undermined the dynamism of some areas of the manufacturing sector.",1.0,2003,12/08/2003,5.0,197.0,1288.0
C:/Modeling/ETA/Chile/12082003.pdf,"Despite the above news, future forecasts continue to consider a gradual reduction in the output gap over the upcoming quarters.",2.0,2003,12/08/2003,5.0,127.0,1288.0
C:/Modeling/ETA/Chile/12082003.pdf,"This scenario is supported by the strong stimulus of monetary policy and the consolidation of increased world growth prospects for the second semester, especially in the US and Asia.",2.0,2003,12/08/2003,5.0,182.0,1288.0
C:/Modeling/ETA/Chile/12082003.pdf,"However, significant risks remain in the foreign scenario.",2.0,2003,12/08/2003,5.0,58.0,1288.0
C:/Modeling/ETA/Chile/12082003.pdf,The most recent data shows core inflation returning to its expected path.,3.0,2003,12/08/2003,5.0,73.0,1288.0
C:/Modeling/ETA/Chile/12082003.pdf,"This, combined with other available information, keeps projected inflation around 3% in the policy forecast horizon.",4.0,2003,12/08/2003,5.0,116.0,1288.0
C:/Modeling/ETA/Chile/12082003.pdf,The Central Bank of Chile will continue to conduct monetary policy with the necessary flexibility to address any projected inflation deviations in either direction from the specified target inflation range.,5.0,2003,12/08/2003,5.0,206.0,1288.0
,,,,,,,
C:/Modeling/ETA/Chile/12122000.pdf,"Santiago, December 12, 2000    Press Release    At its monthly monetary policy meeting held today, the Board of the Central Bank decided  to keep the monetary policy interest rate at its current level of UF plus 5% and that liquidity  credit lines would also remain unchanged.",1.0,2000,12/12/2000,5.0,276.0,1140.0
C:/Modeling/ETA/Chile/12122000.pdf,"  As usual, the Board analyzed recent economic developments and the outlook for the next  twenty-four months.",2.0,2000,12/12/2000,5.0,109.0,1140.0
C:/Modeling/ETA/Chile/12122000.pdf,"  As foreseen, November’s twelve-month inflation rate (4.7%) exceeded the upper limit of the  target range of 4% whereas underlying inflation continued controlled and close to the mid- range target of 3%.",3.0,2000,12/12/2000,5.0,204.0,1140.0
C:/Modeling/ETA/Chile/12122000.pdf,The difference is explained by the direct effect on total inflation of high  oil prices in international markets.,3.0,2000,12/12/2000,5.0,113.0,1140.0
C:/Modeling/ETA/Chile/12122000.pdf,"  Provided that these prices do not exert any additional pressures, inflation should start to go  down from the first quarter of 2001 and return within the target range by mid-2001,  approaching a level of 3% within the policy horizon, in a scenario of moderate but sustained  growth of domestic demand and output.",4.0,2000,12/12/2000,5.0,314.0,1140.0
C:/Modeling/ETA/Chile/12122000.pdf,  The Bank will maintain its flexible monetary policy stance in order to face any threat to  achieving the inflation target.,5.0,2000,12/12/2000,5.0,124.0,1140.0
,,,,,,,
C:/Modeling/ETA/Chile/bcch_comunicado_101224_en.pdf,"THE CENTRAL BANK OF CHILE Press Release* December 11, 2003 In its monthly monetary policy meeting, the Board of the Central Bank of Chile decided, by unanimous vote, to reduce the monetary policy interest rate from 2.75% to 2.25% (annual).",1.0,2003,11/12/2003,4.0,239.0,1679.0
C:/Modeling/ETA/Chile/bcch_comunicado_101224_en.pdf,"Since the last monetary policy meeting, price pressures have been lower than expected.",2.0,2003,11/12/2003,4.0,86.0,1679.0
C:/Modeling/ETA/Chile/bcch_comunicado_101224_en.pdf,Annual inflation of both the CPI and the core inflation index CPIX—that excludes some more volatile prices— are below 2%.,2.0,2003,11/12/2003,4.0,121.0,1679.0
C:/Modeling/ETA/Chile/bcch_comunicado_101224_en.pdf,The former may even be negative in some months of the first half of next year.,2.0,2003,11/12/2003,4.0,78.0,1679.0
C:/Modeling/ETA/Chile/bcch_comunicado_101224_en.pdf,"Although the recent evolution of inflation rates is explained by supply-side factors, its present low level, its persistence and its impact on longer-term inflation expectations combine to generate a significant risk of having unwanted low inflation for too long.",2.0,2003,11/12/2003,4.0,263.0,1679.0
C:/Modeling/ETA/Chile/bcch_comunicado_101224_en.pdf,"The reduction in the monetary policy interest rate is consistent with limiting this risk, and keeping inflation forecasts around 3% over the usual 24-month policy horizon.",2.0,2003,11/12/2003,4.0,171.0,1679.0
C:/Modeling/ETA/Chile/bcch_comunicado_101224_en.pdf,"Regarding output, the latest information confirms higher terms of trade, particularly the price of copper, and a better outlook for world growth next year, while positive international financial conditions have strengthened.",3.0,2003,11/12/2003,4.0,224.0,1679.0
C:/Modeling/ETA/Chile/bcch_comunicado_101224_en.pdf,"These factors, combined with better domestic expectations and expansionary monetary policy, consolidate the increased output growth forecast for the coming quarters.",3.0,2003,11/12/2003,4.0,165.0,1679.0
C:/Modeling/ETA/Chile/bcch_comunicado_101224_en.pdf,"The Central Bank of Chile reassures its objective of attaining an inflation rate centered around 3%, in the usual policy horizon, and reiterates that it will continue to conduct monetary policy with the necessary flexibility to address any projected inflation deviations in either direction from the specified inflation rate target.",4.0,2003,11/12/2003,4.0,332.0,1679.0
,,,,,,,
C:/Modeling/ETA/Chile/bcch_comunicado_101225_en.pdf,"The Central Bank of Chile    PRESS RELEASE*  November 13, 2003    In its monthly monetary policy meeting, the Board of the Central Bank of Chile  decided, by unanimous vote, to maintain the monetary policy interest rate at 2.75%  (annual).",1.0,2003,13/11/2003,5.0,239.0,1670.0
C:/Modeling/ETA/Chile/bcch_comunicado_101225_en.pdf,"  Since the last policy meeting, the increase in the terms of trade has strengthened,  and perspectives of increased world growth have continued, while positive  international financial conditions prevail.",2.0,2003,13/11/2003,5.0,205.0,1670.0
C:/Modeling/ETA/Chile/bcch_comunicado_101225_en.pdf,"These factors, combined with better  domestic expectations, support the increased output growth forecast for the coming  quarters.",2.0,2003,13/11/2003,5.0,130.0,1670.0
C:/Modeling/ETA/Chile/bcch_comunicado_101225_en.pdf,"  Regarding inflation, the latest information reveal subdued price pressures.",3.0,2003,13/11/2003,5.0,77.0,1670.0
C:/Modeling/ETA/Chile/bcch_comunicado_101225_en.pdf,"CPI  inflation is below 2%, while core inflation is at the bottom of the defined target  range.",3.0,2003,13/11/2003,5.0,95.0,1670.0
C:/Modeling/ETA/Chile/bcch_comunicado_101225_en.pdf,"Inflation rates have declined more than expected, because of a temporary  incidence of supply-side factors, particularly the exchange rate and retail margins.",3.0,2003,13/11/2003,5.0,158.0,1670.0
C:/Modeling/ETA/Chile/bcch_comunicado_101225_en.pdf,"Therefore, the inflation forecast for next year is now around one percentage point  below the figures presented in the last Monetary Policy Report.",4.0,2003,13/11/2003,5.0,147.0,1670.0
C:/Modeling/ETA/Chile/bcch_comunicado_101225_en.pdf,"All considered, the  projected inflation rate converges to 3% toward the end of the policy horizon    In light of all the available information, the Board considers that the expansionary  monetary conditions can be extended for a longer time period than previously  foreseen.",4.0,2003,13/11/2003,5.0,275.0,1670.0
C:/Modeling/ETA/Chile/bcch_comunicado_101225_en.pdf,"Notwithstanding, the Board reiterates that it will continue to conduct  monetary policy with the necessary flexibility to address any projected inflation  deviations in either direction from the specified target inflation range, centered at  3%.",4.0,2003,13/11/2003,5.0,245.0,1670.0
C:/Modeling/ETA/Chile/bcch_comunicado_101225_en.pdf,"       In case of any discrepancy or difference of interpretation, the Spanish original  prevails. ",5.0,2003,13/11/2003,5.0,99.0,1670.0
C:/Modeling/ETA/Chile/bcch_comunicado_101226_en.pdf,"The Central Bank of Chile  PRESS RELEASE*  October 14, 2003    In its monthly monetary policy meeting, the Board of the Central Bank of Chile decided, by  unanimous vote, to maintain the monetary policy interest rate at 2.75% (annual).",1.0,2003,14/10/2003,5.0,235.0,1548.0
C:/Modeling/ETA/Chile/bcch_comunicado_101226_en.pdf,"  Since the last policy meeting, a better international scenario has continued to consolidate.",2.0,2003,14/10/2003,5.0,94.0,1548.0
C:/Modeling/ETA/Chile/bcch_comunicado_101226_en.pdf,"This  includes prospects of increased world growth next year, particularly in the U.S. and Asia, an  increase in prices of commodities, and improved financial conditions.",2.0,2003,14/10/2003,5.0,170.0,1548.0
C:/Modeling/ETA/Chile/bcch_comunicado_101226_en.pdf,"These factors, combined  with positive expectations for the Chilean economy, have been reflected strongly in domestic  financial markets.",2.0,2003,14/10/2003,5.0,137.0,1548.0
C:/Modeling/ETA/Chile/bcch_comunicado_101226_en.pdf,"  These favorable developments are expected to translate gradually in better activity indicators for  the coming quarters, although for now they have not been reflected t into actual output data.",3.0,2003,14/10/2003,5.0,195.0,1548.0
C:/Modeling/ETA/Chile/bcch_comunicado_101226_en.pdf,"In  fact, the latest information shows weak growth for August, related to some factors that are  considered to be temporary.",3.0,2003,14/10/2003,5.0,124.0,1548.0
C:/Modeling/ETA/Chile/bcch_comunicado_101226_en.pdf,"  Regarding inflation, recent indicators show price pressures lower than initially forecasted.",4.0,2003,14/10/2003,5.0,94.0,1548.0
C:/Modeling/ETA/Chile/bcch_comunicado_101226_en.pdf,"Both  CPI and core inflation are in the lower half of the target range, and the former is even expected to  be transitorily below 2% in some coming months.",4.0,2003,14/10/2003,5.0,155.0,1548.0
C:/Modeling/ETA/Chile/bcch_comunicado_101226_en.pdf,"However, with all the information at hand the  inflation projection remains around 3% over the next 12 to 24 months.",4.0,2003,14/10/2003,5.0,116.0,1548.0
C:/Modeling/ETA/Chile/bcch_comunicado_101226_en.pdf,  The Central Bank of Chile reiterates that it will continue to conduct monetary policy with the  necessary flexibility to address any projected inflation deviations in either direction from the  specified target inflation rate.,5.0,2003,14/10/2003,5.0,228.0,1548.0
,,,,,,,
,,,,,,,
C:/Modeling/ETA/Chile/bcch_comunicado_101230_en.pdf,"THE CENTRAL BANK OF CHILE Press Release* Monthly Monetary Policy Meeting June 10, 2003 At its monthly monetary policy meeting, the Board of the Central Bank of Chile decided, by unanimous vote of all its members, to maintain the monetary policy interest rate at 2.75 (annual).",1.0,2003,10/06/2003,5.0,276.0,1164.0
C:/Modeling/ETA/Chile/bcch_comunicado_101230_en.pdf,"Domestically, some of the most recent economic data for April has been weaker than expected.",2.0,2003,10/06/2003,5.0,92.0,1164.0
C:/Modeling/ETA/Chile/bcch_comunicado_101230_en.pdf,"For now, it is considered an isolated event and does not modify the outlook that the economy is in a phase of higher growth, supported by the current marked monetary stimulus.",2.0,2003,10/06/2003,5.0,175.0,1164.0
C:/Modeling/ETA/Chile/bcch_comunicado_101230_en.pdf,"Nevertheless, doubts remain with respect to the future path of world growth, especially in the developed countries.",2.0,2003,10/06/2003,5.0,115.0,1164.0
C:/Modeling/ETA/Chile/bcch_comunicado_101230_en.pdf,"The most recent price information suggests that the increase in underlying inflation observed since the beginning of the year is moderating, while inflation has returned to the target range.",3.0,2003,10/06/2003,5.0,190.0,1164.0
C:/Modeling/ETA/Chile/bcch_comunicado_101230_en.pdf,Both developments have been within the foreseen margins.,3.0,2003,10/06/2003,5.0,56.0,1164.0
C:/Modeling/ETA/Chile/bcch_comunicado_101230_en.pdf,The Central Bank of Chile reiterates that it will continue to conduct monetary policy with the necessary flexibility to address any projected inflation deviations in either direction from the specified target inflation rate.,4.0,2003,10/06/2003,5.0,224.0,1164.0
C:/Modeling/ETA/Chile/bcch_comunicado_101230_en.pdf,*This is an unofficial translation. ,5.0,2003,10/06/2003,5.0,36.0,1164.0
C:/Modeling/ETA/Chile/bcch_comunicado_101231_en.pdf,"  THE CENTRAL BANK OF CHILE    Press Release*  Monthly Monetary Policy Meeting  May 8, 2003      At its monthly monetary policy meeting, the Board of the Central Bank of Chile decided,  by unanimous vote, to maintain the monetary policy interest rate at 2.75% (annual).",1.0,2003,08/05/2003,5.0,269.0,1349.0
C:/Modeling/ETA/Chile/bcch_comunicado_101231_en.pdf,"  Although core inflation has been increasing in recent months, it is still within the  previously projected ranges.",2.0,2003,08/05/2003,5.0,116.0,1349.0
C:/Modeling/ETA/Chile/bcch_comunicado_101231_en.pdf,"For the short run, it is foreseen that the lower oil price and the  evolution of the exchange rate will contribute to bring down inflation rates.",2.0,2003,08/05/2003,5.0,145.0,1349.0
