,filename,sentence,paragraph_index,year,date,paragraphs,num_char_sentence,total_chars
0,,,,,,,,
1,C:/Modeling/ETA/USA/pdf/monetary20170201a1.pdf,"EST                      February 1, 2017    Information received since the Federal Open Market Committee met in December  indicates that the labor market has continued to strengthen and that economic activity has  continued to expand at a moderate pace.",1,2017,2/1/2017,8,254,3468
2,C:/Modeling/ETA/USA/pdf/monetary20170201a1.pdf,Job gains remained solid and the unemployment rate  stayed near its recent low.,1,2017,2/1/2017,8,79,3468
3,C:/Modeling/ETA/USA/pdf/monetary20170201a1.pdf,Household spending has continued to rise moderately while business  fixed investment has remained soft.,1,2017,2/1/2017,8,103,3468
4,C:/Modeling/ETA/USA/pdf/monetary20170201a1.pdf,Measures of consumer and business sentiment have  improved of late.,1,2017,2/1/2017,8,67,3468
5,C:/Modeling/ETA/USA/pdf/monetary20170201a1.pdf,Inflation increased in recent quarters but is still below the Committee’s  2 percent longer-run objective.,1,2017,2/1/2017,8,106,3468
6,C:/Modeling/ETA/USA/pdf/monetary20170201a1.pdf,"Market-based measures of inflation compensation remain low;  most survey-based measures of longer-term inflation expectations are little changed, on balance.",1,2017,2/1/2017,8,157,3468
7,C:/Modeling/ETA/USA/pdf/monetary20170201a1.pdf,"Consistent with its statutory mandate, the Committee seeks to foster maximum  employment and price stability.",2,2017,2/1/2017,8,109,3468
8,C:/Modeling/ETA/USA/pdf/monetary20170201a1.pdf,"The Committee expects that, with gradual adjustments in the  stance of monetary policy, economic activity will expand at a moderate pace, labor market  conditions will strengthen somewhat further, and inflation will rise to 2 percent over the medium  term.",2,2017,2/1/2017,8,256,3468
9,C:/Modeling/ETA/USA/pdf/monetary20170201a1.pdf,Near-term risks to the economic outlook appear roughly balanced.,2,2017,2/1/2017,8,64,3468
10,C:/Modeling/ETA/USA/pdf/monetary20170201a1.pdf,The Committee  continues to closely monitor inflation indicators and global economic and financial  developments.,2,2017,2/1/2017,8,113,3468
11,C:/Modeling/ETA/USA/pdf/monetary20170201a1.pdf,"In view of realized and expected labor market conditions and inflation, the Committee  decided to maintain the target range for the federal funds rate at 1/2 to 3/4 percent.",3,2017,2/1/2017,8,173,3468
12,C:/Modeling/ETA/USA/pdf/monetary20170201a1.pdf,"The stance of  monetary policy remains accommodative, thereby supporting some further strengthening in labor  market conditions and a return to 2 percent inflation.",3,2017,2/1/2017,8,164,3468
13,C:/Modeling/ETA/USA/pdf/monetary20170201a1.pdf,"In determining the timing and size of future adjustments to the target range for the federal  funds rate, the Committee will assess realized and expected economic conditions relative to its  objectives of maximum employment and 2 percent inflation.",4,2017,2/1/2017,8,248,3468
14,C:/Modeling/ETA/USA/pdf/monetary20170201a1.pdf,"This assessment will take into  account a wide range of information, including measures of labor market conditions, indicators  of inflation pressures and inflation expectations, and readings on financial and international   (more)  - 2 -  developments.",4,2017,2/1/2017,8,253,3468
15,C:/Modeling/ETA/USA/pdf/monetary20170201a1.pdf,"In light of the current shortfall of inflation from 2 percent, the Committee will  carefully monitor actual and expected progress toward its inflation goal.",4,2017,2/1/2017,8,156,3468
16,C:/Modeling/ETA/USA/pdf/monetary20170201a1.pdf,"The Committee expects  that economic conditions will evolve in a manner that will warrant only gradual increases in the  federal funds rate; the federal funds rate is likely to remain, for some time, below levels that are  expected to prevail in the longer run.",4,2017,2/1/2017,8,261,3468
17,C:/Modeling/ETA/USA/pdf/monetary20170201a1.pdf,"However, the actual path of the federal funds rate will  depend on the economic outlook as informed by incoming data.",4,2017,2/1/2017,8,117,3468
18,C:/Modeling/ETA/USA/pdf/monetary20170201a1.pdf,"The Committee is maintaining its existing policy of reinvesting principal payments from  its holdings of agency debt and agency mortgage-backed securities in agency mortgage-backed  securities and of rolling over maturing Treasury securities at auction, and it anticipates doing so  until normalization of the level of the federal funds rate is well under way.",5,2017,2/1/2017,8,360,3468
19,C:/Modeling/ETA/USA/pdf/monetary20170201a1.pdf,"This policy, by  keeping the Committee’s holdings of longer-term securities at sizable levels, should help  maintain accommodative financial conditions.",5,2017,2/1/2017,8,152,3468
20,,,,,,,,
21,,,,,,,,
22,,,,,,,,
23,,,,,,,,
24,,,,,,,,
25,,,,,,,,
26,,,,,,,,
27,,,,,,,,
28,,,,,,,,
29,C:/Modeling/ETA/USA/pdf/monetary20170315a1.pdf,"EDT              March 15, 2017    Information received since the Federal Open Market Committee met in February  indicates that the labor market has continued to strengthen and that economic activity has  continued to expand at a moderate pace.",1,2017,3/15/2017,8,244,3694
30,C:/Modeling/ETA/USA/pdf/monetary20170315a1.pdf,Job gains remained solid and the unemployment rate  was little changed in recent months.,1,2017,3/15/2017,8,88,3694
31,C:/Modeling/ETA/USA/pdf/monetary20170315a1.pdf,Household spending has continued to rise moderately while  business fixed investment appears to have firmed somewhat.,1,2017,3/15/2017,8,117,3694
32,C:/Modeling/ETA/USA/pdf/monetary20170315a1.pdf,"Inflation has increased in recent  quarters, moving close to the Committee’s 2 percent longer-run objective; excluding energy and  food prices, inflation was little changed and continued to run somewhat below 2 percent.",1,2017,3/15/2017,8,219,3694
33,C:/Modeling/ETA/USA/pdf/monetary20170315a1.pdf,"Market-based measures of inflation compensation remain low; survey-based measures of longer- term inflation expectations are little changed, on balance.",2,2017,3/15/2017,8,152,3694
34,C:/Modeling/ETA/USA/pdf/monetary20170315a1.pdf,"Consistent with its statutory mandate, the Committee seeks to foster maximum  employment and price stability.",2,2017,3/15/2017,8,109,3694
35,C:/Modeling/ETA/USA/pdf/monetary20170315a1.pdf,"The Committee expects that, with gradual adjustments in the  stance of monetary policy, economic activity will expand at a moderate pace, labor market  conditions will strengthen somewhat further, and inflation will stabilize around 2 percent over  the medium term.",2,2017,3/15/2017,8,265,3694
36,C:/Modeling/ETA/USA/pdf/monetary20170315a1.pdf,Near-term risks to the economic outlook appear roughly balanced.,2,2017,3/15/2017,8,64,3694
37,C:/Modeling/ETA/USA/pdf/monetary20170315a1.pdf,The  Committee continues to closely monitor inflation indicators and global economic and financial  developments.,2,2017,3/15/2017,8,113,3694
38,C:/Modeling/ETA/USA/pdf/monetary20170315a1.pdf,"In view of realized and expected labor market conditions and inflation, the Committee  decided to raise the target range for the federal funds rate to 3/4 to 1 percent.",3,2017,3/15/2017,8,168,3694
39,C:/Modeling/ETA/USA/pdf/monetary20170315a1.pdf,"The stance of  monetary policy remains accommodative, thereby supporting some further strengthening in labor  market conditions and a sustained return to 2 percent inflation.",3,2017,3/15/2017,8,174,3694
40,C:/Modeling/ETA/USA/pdf/monetary20170315a1.pdf,"In determining the timing and size of future adjustments to the target range for the federal  funds rate, the Committee will assess realized and expected economic conditions relative to its  objectives of maximum employment and 2 percent inflation.",4,2017,3/15/2017,8,248,3694
41,C:/Modeling/ETA/USA/pdf/monetary20170315a1.pdf,"This assessment will take into  account a wide range of information, including measures of labor market conditions, indicators   (more)              For release at 2 p.m.",4,2017,3/15/2017,8,170,3694
42,C:/Modeling/ETA/USA/pdf/monetary20170315a1.pdf,"EDT              March 15, 2017  - 2 -  of inflation pressures and inflation expectations, and readings on financial and international  developments.",4,2017,3/15/2017,8,149,3694
43,C:/Modeling/ETA/USA/pdf/monetary20170315a1.pdf,The Committee will carefully monitor actual and expected inflation  developments relative to its symmetric inflation goal.,4,2017,3/15/2017,8,122,3694
44,C:/Modeling/ETA/USA/pdf/monetary20170315a1.pdf,"The Committee expects that economic  conditions will evolve in a manner that will warrant gradual increases in the federal funds rate;  the federal funds rate is likely to remain, for some time, below levels that are expected to prevail  in the longer run.",4,2017,3/15/2017,8,256,3694
45,C:/Modeling/ETA/USA/pdf/monetary20170315a1.pdf,"However, the actual path of the federal funds rate will depend on the economic  outlook as informed by incoming data.",4,2017,3/15/2017,8,117,3694
46,C:/Modeling/ETA/USA/pdf/monetary20170315a1.pdf,"The Committee is maintaining its existing policy of reinvesting principal payments from  its holdings of agency debt and agency mortgage-backed securities in agency mortgage-backed  securities and of rolling over maturing Treasury securities at auction, and it anticipates doing so  until normalization of the level of the federal funds rate is well under way.",5,2017,3/15/2017,8,360,3694
47,C:/Modeling/ETA/USA/pdf/monetary20170315a1.pdf,"This policy, by  keeping the Committee’s holdings of longer-term securities at sizable levels, should help  maintain accommodative financial conditions.",5,2017,3/15/2017,8,152,3694
48,,,,,,,,
49,,,,,,,,
50,,,,,,,,
51,,,,,,,,
52,,,,,,,,
53,,,,,,,,
54,,,,,,,,
55,C:/Modeling/ETA/USA/pdf/monetary20170315a1.pdf,"Voting against the action was Neel  Kashkari, who preferred at this meeting to maintain the existing target range for the federal funds  rate.",7,2017,3/15/2017,8,142,3694
56,,,,,,,,
57,,,,,,,,
58,C:/Modeling/ETA/USA/pdf/monetary20170503a1.pdf,"EDT                             May 3, 2017    Information received since the Federal Open Market Committee met in March indicates  that the labor market has continued to strengthen even as growth in economic activity slowed.",1,2017,5/3/2017,10,225,3621
59,C:/Modeling/ETA/USA/pdf/monetary20170503a1.pdf,"Job gains were solid, on average, in recent months, and the unemployment rate declined.",2,2017,5/3/2017,10,87,3621
60,C:/Modeling/ETA/USA/pdf/monetary20170503a1.pdf,"Household spending rose only modestly, but the fundamentals underpinning the continued  growth of consumption remained solid.",3,2017,5/3/2017,10,125,3621
61,,,,,,,,
62,C:/Modeling/ETA/USA/pdf/monetary20170503a1.pdf,Inflation measured  on a 12-month basis recently has been running close to the Committee’s 2 percent longer-run  objective.,3,2017,5/3/2017,10,123,3621
63,C:/Modeling/ETA/USA/pdf/monetary20170503a1.pdf,"Excluding energy and food, consumer prices declined in March and inflation  continued to run somewhat below 2 percent.",3,2017,5/3/2017,10,118,3621
64,C:/Modeling/ETA/USA/pdf/monetary20170503a1.pdf,"Market-based measures of inflation compensation  remain low; survey-based measures of longer-term inflation expectations are little changed, on  balance.",3,2017,5/3/2017,10,153,3621
65,C:/Modeling/ETA/USA/pdf/monetary20170503a1.pdf,"Consistent with its statutory mandate, the Committee seeks to foster maximum  employment and price stability.",4,2017,5/3/2017,10,109,3621
66,C:/Modeling/ETA/USA/pdf/monetary20170503a1.pdf,"The Committee views the slowing in growth during the first  quarter as likely to be transitory and continues to expect that, with gradual adjustments in the  stance of monetary policy, economic activity will expand at a moderate pace, labor market  conditions will strengthen somewhat further, and inflation will stabilize around 2 percent over  the medium term.",4,2017,5/3/2017,10,362,3621
67,C:/Modeling/ETA/USA/pdf/monetary20170503a1.pdf,Near-term risks to the economic outlook appear roughly balanced.,4,2017,5/3/2017,10,64,3621
68,C:/Modeling/ETA/USA/pdf/monetary20170503a1.pdf,The  Committee continues to closely monitor inflation indicators and global economic and financial  developments.,4,2017,5/3/2017,10,113,3621
69,C:/Modeling/ETA/USA/pdf/monetary20170503a1.pdf,"In view of realized and expected labor market conditions and inflation, the Committee  decided to maintain the target range for the federal funds rate at 3/4 to 1 percent.",5,2017,5/3/2017,10,171,3621
70,C:/Modeling/ETA/USA/pdf/monetary20170503a1.pdf,"The stance of  monetary policy remains accommodative, thereby supporting some further strengthening in labor  market conditions and a sustained return to 2 percent inflation.",5,2017,5/3/2017,10,174,3621
71,C:/Modeling/ETA/USA/pdf/monetary20170503a1.pdf,"In determining the timing and size of future adjustments to the target range for the federal   (more)  - 2 -  funds rate, the Committee will assess realized and expected economic conditions relative to its  objectives of maximum employment and 2 percent inflation.",6,2017,5/3/2017,10,264,3621
72,C:/Modeling/ETA/USA/pdf/monetary20170503a1.pdf,"This assessment will take into  account a wide range of information, including measures of labor market conditions, indicators  of inflation pressures and inflation expectations, and readings on financial and international  developments.",6,2017,5/3/2017,10,237,3621
73,C:/Modeling/ETA/USA/pdf/monetary20170503a1.pdf,The Committee will carefully monitor actual and expected inflation  developments relative to its symmetric inflation goal.,6,2017,5/3/2017,10,122,3621
74,C:/Modeling/ETA/USA/pdf/monetary20170503a1.pdf,"The Committee expects that economic  conditions will evolve in a manner that will warrant gradual increases in the federal funds rate;  the federal funds rate is likely to remain, for some time, below levels that are expected to prevail  in the longer run.",6,2017,5/3/2017,10,256,3621
75,C:/Modeling/ETA/USA/pdf/monetary20170503a1.pdf,"However, the actual path of the federal funds rate will depend on the economic  outlook as informed by incoming data.",6,2017,5/3/2017,10,117,3621
76,C:/Modeling/ETA/USA/pdf/monetary20170503a1.pdf,"The Committee is maintaining its existing policy of reinvesting principal payments from  its holdings of agency debt and agency mortgage-backed securities in agency mortgage-backed  securities and of rolling over maturing Treasury securities at auction, and it anticipates doing so  until normalization of the level of the federal funds rate is well under way.",7,2017,5/3/2017,10,360,3621
77,C:/Modeling/ETA/USA/pdf/monetary20170503a1.pdf,"This policy, by  keeping the Committee’s holdings of longer-term securities at sizable levels, should help  maintain accommodative financial conditions.",7,2017,5/3/2017,10,152,3621
78,,,,,,,,
79,,,,,,,,
80,,,,,,,,
81,,,,,,,,
82,,,,,,,,
83,,,,,,,,
84,,,,,,,,
85,,,,,,,,
86,C:/Modeling/ETA/USA/pdf/monetary20170614a1.pdf,"EDT  June 14, 2017    Information received since the Federal Open Market Committee met in May  indicates that the labor market has continued to strengthen and that economic activity has  been rising moderately so far this year.",1,2017,6/14/2017,11,227,3834
87,C:/Modeling/ETA/USA/pdf/monetary20170614a1.pdf,"Job gains have moderated but have been solid, on  average, since the beginning of the year, and the unemployment rate has declined.",1,2017,6/14/2017,11,131,3834
88,C:/Modeling/ETA/USA/pdf/monetary20170614a1.pdf,"Household spending has picked up in recent months, and business fixed investment has  continued to expand.",2,2017,6/14/2017,11,106,3834
89,C:/Modeling/ETA/USA/pdf/monetary20170614a1.pdf,"On a 12-month basis, inflation has declined recently and, like the  measure excluding food and energy prices, is running somewhat below 2 percent.",2,2017,6/14/2017,11,146,3834
90,C:/Modeling/ETA/USA/pdf/monetary20170614a1.pdf,"Market-based measures of inflation compensation remain low; survey-based measures of  longer-term inflation expectations are little changed, on balance.",3,2017,6/14/2017,11,152,3834
91,C:/Modeling/ETA/USA/pdf/monetary20170614a1.pdf,"Consistent with its statutory mandate, the Committee seeks to foster maximum  employment and price stability.",4,2017,6/14/2017,11,109,3834
92,C:/Modeling/ETA/USA/pdf/monetary20170614a1.pdf,"The Committee continues to expect that, with gradual  adjustments in the stance of monetary policy, economic activity will expand at a  moderate pace, and labor market conditions will strengthen somewhat further.",4,2017,6/14/2017,11,212,3834
93,C:/Modeling/ETA/USA/pdf/monetary20170614a1.pdf,Inflation  on a 12-month basis is expected to remain somewhat below 2 percent in the near term but  to stabilize around the Committee’s 2 percent objective over the medium term.,4,2017,6/14/2017,11,177,3834
94,C:/Modeling/ETA/USA/pdf/monetary20170614a1.pdf,"Near-term risks to the economic outlook appear roughly balanced, but the Committee is  monitoring inflation developments closely.",5,2017,6/14/2017,11,129,3834
95,C:/Modeling/ETA/USA/pdf/monetary20170614a1.pdf,"In view of realized and expected labor market conditions and inflation, the  Committee decided to raise the target range for the federal funds rate to 1 to 1-1/4  percent.",6,2017,6/14/2017,11,171,3834
96,C:/Modeling/ETA/USA/pdf/monetary20170614a1.pdf,"The stance of monetary policy remains accommodative, thereby supporting  some further strengthening in labor market conditions and a sustained return to 2 percent  inflation.",6,2017,6/14/2017,11,174,3834
97,C:/Modeling/ETA/USA/pdf/monetary20170614a1.pdf,"In determining the timing and size of future adjustments to the target range for the  federal funds rate, the Committee will assess realized and expected economic conditions   (more)  For release at 2 p.m.",7,2017,6/14/2017,11,205,3834
98,C:/Modeling/ETA/USA/pdf/monetary20170614a1.pdf,"EDT  June 14, 2017  - 2 -  relative to its objectives of maximum employment and 2 percent inflation.",7,2017,6/14/2017,11,100,3834
99,C:/Modeling/ETA/USA/pdf/monetary20170614a1.pdf,"This  assessment will take into account a wide range of information, including measures of  labor market conditions, indicators of inflation pressures and inflation expectations, and  readings on financial and international developments.",7,2017,6/14/2017,11,237,3834
100,C:/Modeling/ETA/USA/pdf/monetary20170614a1.pdf,The Committee will carefully  monitor actual and expected inflation developments relative to its symmetric inflation  goal.,7,2017,6/14/2017,11,123,3834
101,C:/Modeling/ETA/USA/pdf/monetary20170614a1.pdf,"The Committee expects that economic conditions will evolve in a manner that will  warrant gradual increases in the federal funds rate; the federal funds rate is likely to  remain, for some time, below levels that are expected to prevail in the longer run.",7,2017,6/14/2017,11,255,3834
102,C:/Modeling/ETA/USA/pdf/monetary20170614a1.pdf,"However, the actual path of the federal funds rate will depend on the economic outlook as  informed by incoming data.",8,2017,6/14/2017,11,117,3834
